,name,longitude,latitude,rating,calls
388,Viejas Arena,-117.074602,32.773824,3.5,39
389,Diplomat,-117.05659479999998,32.76858521,3.0,55
390,Ghosts & Gravestones Tour San Diego,-117.1957977,32.7535674,3.0,83
391,Save Our Heritage Organization,-117.15758999999998,32.741479999999996,3.0,101
392,Aztec Pacific Apartments,-117.0551608,32.7686242,2.5,62
393,Carriage House,-117.079876,32.760884999999995,1.0,69
394,Penthouse Apartments,-117.05731000000002,32.769509899999996,1.5,57
395,Old Town Mexican Cafe,-117.194767,32.75239795,3.5,80
396,Cafe 21 Gaslamp,-117.16028940000001,32.71376,4.0,609
397,Collier Park,-117.23666809999999,32.74762016,3.5,64
398,Collier Park,-117.014784,32.75897926,2.0,2
399,Deputy Ken Collier Neighborhood Park,-116.99759399999999,32.835982,5.0,0
400,Point Loma Native Plant Garden,-117.23559499999999,32.747421,4.0,65
401,La Jolla,-117.253346,32.862315,4.5,6
402,Beacon's Beach,-117.30426000000001,33.070640000000004,4.5,0
403,Jerabek Park,-117.082733,32.910252,3.0,7
404,Mission Hills Open Space,-117.17697390000001,32.74989277,2.5,23
405,White Deer Park,-117.195233,32.75671296,5.0,54
406,Park de la Cruz Skate Park,-117.11171999999999,32.74479819,3.5,103
407,South Village Neighborhood Park,-117.16171200000001,32.994873999999996,4.5,2
408,East Village Square,-117.15689429999999,32.70925510000001,4.5,626
409,Seaport Village,-117.17093700000001,32.709071,4.0,59
410,Embarcadero Marina Park South,-117.16328840000001,32.70573189,4.0,177
411,Ruocco Park,-117.1715213,32.71105712,4.0,62
412,Martin Luther King Jr. Promenade,-117.166051,32.710017,4.5,325
413,Arcadia at StoneCrest Village,-117.1176646,32.79746127,4.0,13
414,Form 15,-117.15082549999998,32.71208191,4.0,559
415,Loma Village,-117.2097557,32.749419,2.5,188
416,Lincoln Military Housing - The Village at Serra Mesa,-117.146552,32.802648,1.5,41
417,Shift,-117.149626,32.709653,3.5,530
418,Mesa Residential Apartments,-117.21846599999999,32.873179300000004,4.0,57
419,13th & Market,-117.1525479,32.711563500000004,3.5,628
420,Fanuel Street Park,-117.24442009999999,32.79142344,4.5,74
421,J Street Marina Bayside Park,-117.10122,32.62558,4.5,0
422,Stone Brewing Tap Room,-117.1575568,32.70879717,4.0,563
423,J Street Viewpoint,-117.29596289999999,33.03911551,4.5,0
424,Social Tap,-117.15725249999998,32.70920545,4.0,595
425,Rice Canyon Trail,-117.023145,32.64124139,4.0,0
426,Jsix,-117.15872420000001,32.7094817,3.5,542
427,Horton Plaza Park,-117.1614156,32.71546447,3.0,581
428,Horton Plaza Park,-117.1616407,32.71533057,3.0,575
429,Edward J Schwartz Federal Building,-117.16495,32.7143299,5.0,466
